,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
59,97016,Bitung (Indonesia),1.43,125.18,3,97016,1.43,125.18,20191119060000,1007.8,-0.14,7.0,1007.0,,0.0,28.4,24.6,10000.0,95.0,9.0,6.0,8.0,6.0,4.0,9.0,7.0,1.0,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,97028,Toli-Toli / Lalos (Indonesia),1.12,120.79,2,97028,1.12,120.79,20191119060000,1006.5,-0.21,7.0,1006.0,310.0,5.1,31.1,25.4,12000.0,2.0,1.0,1.0,4.0,3.0,5.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,97072,Palu / Mutiara (Indonesia),-0.91,119.9,6,97072,-0.91,119.9,20191119060000,1007.4,-0.27,7.0,1007.0,350.0,7.2,34.2,22.3,9000.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
62,97086,Luwuk / Bubung (Indonesia),-1.04,122.77,2,97086,-1.04,122.77,20191119060000,1006.9,-0.25,6.0,1006.0,190.0,2.6,32.9,23.8,10000.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,97096,Poso / Kasiguncu (Indonesia),-1.42,120.65,2,97096,-1.42,120.65,20191119060000,1006.0,-0.27,7.0,1006.0,20.0,4.1,32.6,24.6,9000.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,97120,Majene (Indonesia),-2.5,119.0,8,97120,-2.5,119.0,20191119060000,1007.7,-0.29,7.0,1007.0,310.0,1.5,30.5,26.1,12000.0,1.0,6.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,97126,Masamba (Indonesia),-2.55,120.32,50,97126,-2.55,120.32,20191119060000,1006.8,-0.27,7.0,1006.0,40.0,2.1,32.8,23.0,9000.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,97142,Kolaka / Poma (Indonesia),-4.18,121.61,3,97142,-4.18,121.61,20191119060000,1007.2,-0.21,6.0,1007.0,250.0,2.6,33.4,24.5,10000.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
67,97146,Kendari / Woltermon-Ginsidi (Indonesia),-4.08,122.41,50,97146,-4.08,122.41,20191119060000,1008.0,-0.26,7.0,1008.0,40.0,2.6,35.4,20.9,10000.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,97180,Ujung Pandang / Hasanuddin (Indonesia),-5.07,119.54,14,97180,-5.07,119.54,20191119060000,1007.2,-0.24,7.0,1007.0,270.0,3.6,33.2,23.4,10000.0,2.0,1.0,1.0,4.0,3.0,4.0,9.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
